experiment,model,building_id,n_observations,MAE,RMSE,R2,NMAE
unseen,persistence,Bobcat_office_Alma,13965,1.0820091586108127,1.444962035838052,0.38728955947890786,0.23824776849927268
unseen,persistence,Bull_office_Yvonne,16745,8.528456255598686,15.21621418362056,0.884012788801997,0.051570247575755276
unseen,persistence,Bull_public_Jefferson,16806,2.498036415565869,5.745077937206918,0.7885814889999931,0.06477459191868229
unseen,persistence,Cockatoo_assembly_Heath,15768,12.609901376204974,24.35448518445141,0.811785214656805,0.09710270645305
unseen,persistence,Fox_lodging_Warren,17384,1.860048895536125,3.072145591884579,0.8274393408724039,0.051275233794831336
unseen,persistence,Gator_assembly_Enid,16568,0.07489318565910189,0.4885370672933919,0.9551308747450292,0.009525068279784077
unseen,persistence,Hog_parking_Cliff,17245,5.888719048999709,9.407932380687496,0.8418812320235798,0.05739765828483558
unseen,persistence,Lamb_education_Philomena,17312,4.4294887534658045,9.093737399989715,0.9378698147822419,0.11624835246844502
unseen,persistence,Panther_office_Lavinia,14055,1.0186524724297403,1.6078646026269274,0.8939391708161527,0.044337401366990596
unseen,persistence,Panther_retail_Kristina,14029,3.1372911326537887,5.181930633772144,0.9039826430947436,0.09760662794521367
unseen,persistence,Peacock_office_Burl,17435,2.348982041869802,3.6957546783039232,0.8256365511902487,0.03907534388566095
unseen,seasonal_naive,Bobcat_office_Alma,13965,1.2096642320085929,1.7041314718754679,0.1477861240306816,0.2663561593872757
unseen,seasonal_naive,Bull_office_Yvonne,16745,15.909166915497163,32.25023557796561,0.47897007963771365,0.096200256173866
unseen,seasonal_naive,Bull_public_Jefferson,16806,5.141616089491849,10.224696506987499,0.3303436174915686,0.13332315010464812
unseen,seasonal_naive,Cockatoo_assembly_Heath,15768,15.58388881278539,25.783836631025693,0.7890444717464189,0.1200039346572818
unseen,seasonal_naive,Fox_lodging_Warren,17384,2.5155142659917162,3.960951220606011,0.7131484557937526,0.06934418896863549
unseen,seasonal_naive,Gator_assembly_Enid,16568,1.8573060236600676,2.495409474265251,-0.17067461210568102,0.236215972603195
unseen,seasonal_naive,Hog_parking_Cliff,17245,10.875695273992461,16.935365033487006,0.4876294358725459,0.10600598122483995
unseen,seasonal_naive,Lamb_education_Philomena,17312,10.673142768022181,25.07665503552566,0.5275487071241804,0.28010800602491154
unseen,seasonal_naive,Panther_office_Lavinia,14055,2.055375112059765,3.1101159530096982,0.6031656739482272,0.0894613165624085
unseen,seasonal_naive,Panther_retail_Kristina,14029,6.904215361037851,13.100169829449154,0.38635046669626794,0.2148022454736009
unseen,seasonal_naive,Peacock_office_Burl,17435,4.5701150501864065,6.7469391407318415,0.41888409076727484,0.07602391759492501
unseen,linear_regression,Bobcat_office_Alma,13965,2.536714231203401,2.9594513312457367,-1.570187527338061,0.5585595094966682
unseen,linear_regression,Bull_office_Yvonne,16745,8.06493666807354,12.967204806523501,0.9157655739049725,0.04876741677396843
unseen,linear_regression,Bull_public_Jefferson,16806,3.6167369791051094,5.381798441667595,0.8144734717676774,0.09378272487900159
unseen,linear_regression,Cockatoo_assembly_Heath,15768,13.097875925982962,23.72765791314492,0.8213489495500166,0.10086036070029611
unseen,linear_regression,Fox_lodging_Warren,17384,3.153861056820132,3.9584001689406976,0.713517830431041,0.08694124301407397
unseen,linear_regression,Gator_assembly_Enid,16568,2.608271118263822,3.0103654171910446,-0.7036916436518217,0.33172524676325277
unseen,linear_regression,Hog_parking_Cliff,17245,6.092152503365602,9.071590746033285,0.8529848992505831,0.059380535002206004
unseen,linear_regression,Lamb_education_Philomena,17312,5.295973964655004,8.344052270264015,0.9476915486460163,0.13898855655186299
unseen,linear_regression,Panther_office_Lavinia,14055,2.4676524482281805,2.930093149473251,0.6477760170911528,0.10740591123326029
unseen,linear_regression,Panther_retail_Kristina,14029,3.4463892477611062,4.58029444646014,0.9249840951686984,0.10722321226721963
unseen,linear_regression,Peacock_office_Burl,17435,3.2098081259333062,4.253504021728761,0.7690367535544719,0.053395195915586655
unseen,xgboost,Bobcat_office_Alma,13965,1.0901632299002413,1.4230231503265391,0.40575390305169867,0.24004321475167276
unseen,xgboost,Bull_office_Yvonne,16745,7.188831941246382,12.346787959699128,0.92363315294454,0.0434697478511659
unseen,xgboost,Bull_public_Jefferson,16806,2.480524195527287,5.10136748424475,0.8333043066371439,0.06432049649416369
unseen,xgboost,Cockatoo_assembly_Heath,15768,12.772415108823655,23.70802799273802,0.8216444237413594,0.09835414552479717
unseen,xgboost,Fox_lodging_Warren,17384,1.8950856134697305,2.9866998258191693,0.8369047332982663,0.05224107717011066
unseen,xgboost,Gator_assembly_Enid,16568,0.4236766820412998,0.6572901727580133,0.9187792792458845,0.0538840655458926
unseen,xgboost,Hog_parking_Cliff,17245,6.016330379549127,9.164900414190155,0.8499449735250284,0.05864149272203681
unseen,xgboost,Lamb_education_Philomena,17312,3.937109881862608,7.794099786603355,0.9543595672267351,0.10332626691864918
unseen,xgboost,Panther_office_Lavinia,14055,1.04255576445035,1.5729224095653047,0.898498918568607,0.04537780511703721
unseen,xgboost,Panther_retail_Kristina,14029,2.841261562736958,4.630483881680367,0.9233310862544036,0.0883966289779797
unseen,xgboost,Peacock_office_Burl,17435,2.4518741129241057,3.6540134737920136,0.8295529579958734,0.04078695469744664
seen,persistence,Bear_education_Gavin,3453,3.240925340283811,4.169228175240569,0.7931128901111801,0.035881591780071984
seen,persistence,Bear_education_Mara,3174,5.711703465658474,8.741442994205544,0.9209222798515578,0.011475637295138062
seen,persistence,Bear_education_Merrill,2586,1.9570119876256766,3.142262664517862,0.8370345119867922,0.09702186383260379
seen,persistence,Bear_education_Nanette,3156,11.378835266159696,18.014636502394904,0.8570606501669943,0.09565580544711585
seen,persistence,Bear_education_Wm,3483,2.746355785242607,4.165458755305749,0.8954822850113356,0.055414775594325914
seen,persistence,Bear_education_Zandra,3408,7.889948620892019,13.115699046332159,0.8733377650561711,0.008552942761535853
seen,persistence,Bear_public_Lowell,3488,8.310335378440367,13.966202527986244,0.8813631537729029,0.04085183372825101
seen,persistence,Bull_assembly_Goldie,3352,4.326372315035799,6.584406979710702,0.8486212350756552,0.0671308083286271
seen,persistence,Bull_lodging_Lettie,3347,2.4744547355841053,3.4345648100913246,0.7644836376326043,0.06711561682023356
seen,persistence,Cockatoo_education_Amira,2435,3.4349965913757696,8.392766066315524,0.3921379830459145,0.07734317150960508
seen,persistence,Cockatoo_education_Claudine,3143,2.056198981864461,3.176939279406109,0.5957450761479228,0.05283814406017497
seen,persistence,Cockatoo_education_Jack,3143,1.0133232898504612,1.3977789148358846,0.7627100588927164,0.1417896289173147
seen,persistence,Cockatoo_education_June,3146,4.0508794342021615,5.49180101346344,0.8821302464811176,0.03975739618500031
seen,persistence,Cockatoo_education_Victoria,2998,0.45538138759172786,0.7338558792349206,0.6174240640827087,0.10160594795539035
seen,persistence,Eagle_assembly_Ian,3338,37.40203714799281,64.73127379458944,0.8244485078454735,0.0776322801248852
seen,persistence,Eagle_education_Eileen,3036,2.7536234519104084,3.928729507119571,0.8116925709353255,0.05822413400946748
seen,persistence,Eagle_education_Shanna,3321,14.84643179765131,24.134727983777825,0.6881471470231093,0.04971244318433884
seen,persistence,Eagle_health_Margo,2971,2.4620298552675868,3.2627748276351958,0.8217680401355378,0.04232524029448406
seen,persistence,Eagle_office_Patrice,3325,7.681834586466165,11.453928242330276,0.8045403153085721,0.08808468125036857
seen,persistence,Eagle_office_Sonya,3325,12.009624060150376,17.355980962998604,0.7571900280293384,0.06887238119548739
seen,persistence,Fox_education_Claire,3494,3.600646823125358,6.258200065476545,0.923328101717215,0.05663541348165451
seen,persistence,Fox_education_Gloria,3472,7.680480990783409,20.59339221331402,0.6802247795634753,0.011800605351530848
seen,persistence,Fox_education_Henrietta,3482,8.043897185525559,13.227995573284966,0.7004823815719409,0.13914069813445445
seen,persistence,Fox_education_Lilly,3469,9.597564139521475,15.327468048103656,0.8775623084223605,0.05200382792733148
seen,persistence,Fox_education_Shawanda,3483,1.0683548664944016,2.506614081677621,0.8823498192863536,0.11108878702071416
seen,persistence,Fox_education_Virgil,3488,2.1761697247706424,3.8580399192269414,0.807185837790593,0.024549002856042498
seen,persistence,Fox_lodging_Isabell,3483,0.5314699971289119,1.1386606943506172,0.6857222017398348,0.02099952478777957
seen,persistence,Gator_assembly_Kimberly,3314,10.543275769462884,80.335126569511,0.9386406514504034,0.007582715827661742
seen,persistence,Gator_public_Nettie,3145,0.1015362480127186,0.8316824198541386,0.956178708824544,0.007030792069333742
seen,persistence,Hog_health_Kesha,3472,5.290828917050692,8.410536881962837,0.9136306182543661,0.02155551688236535
seen,persistence,Hog_office_Eloise,3499,10.401723063732495,17.453149004129067,0.8819647046362762,0.03118677744208225
seen,persistence,Hog_office_Elsy,3483,1.3660815389032444,2.1357047922214476,0.8745378647125653,0.05304068485222035
seen,persistence,Hog_office_Emmanuel,3427,1.9530198424277794,2.817844431347539,0.8153971791421382,0.07080030195862565
seen,persistence,Hog_office_Mary,3504,2.310545091324201,4.492055708471757,0.910336391199241,0.07156883095841955
seen,persistence,Hog_warehouse_Porsha,3488,1.9051915137614677,5.1434388448588315,0.7712898279003121,0.1447541764327641
seen,persistence,Lamb_assembly_Rosa,3504,75.47455131278538,164.76885480969386,0.4008892439058048,0.5770062221241159
seen,persistence,Lamb_education_Ellen,3259,0.002178582387235348,0.04441844045103196,0.968999946122068,0.10944680037674366
seen,persistence,Lamb_education_Harold,3187,0.0,0.0,,0.0
seen,persistence,Lamb_education_Rodrigo,3496,3.7207183066361558,7.1557950995097,0.9310482752739827,0.08823560240195732
seen,persistence,Lamb_education_Stefan,3484,0.4840039035591275,1.9086397387005638,0.9446629657833219,0.15725318908092056
seen,persistence,Lamb_industrial_Willard,3248,0.0012315270935960593,0.040089186286863664,0.934658934811136,0.1491207467966999
seen,persistence,Lamb_office_Caitlin,3504,3.7135126141552512,10.726806888851568,0.9242025912846845,0.1302201969829653
seen,persistence,Lamb_public_Angeline,2927,1.8361114110010253,6.873677067406754,0.9344119170888208,0.1389461027326269
seen,persistence,Mouse_health_Justin,3134,38.959220389278876,54.71152788617452,0.9206500482652702,0.04420442972915019
seen,persistence,Panther_education_Mohammad,2806,7.542813791874555,10.854500211796992,0.9115581285132087,0.05114610722018729
seen,persistence,Panther_lodging_Edmond,2811,3.8205524368552113,5.029167893693374,0.898943382415337,0.08966934380268507
seen,persistence,Panther_office_Jeane,2811,2.4145545001778723,4.107284567314695,0.7241209787444935,0.11908879021138259
seen,persistence,Peacock_public_Kelvin,3487,16.180647175222255,23.836157897484412,0.8773333596365189,0.059832649010742534
seen,persistence,Rat_assembly_Teddy,3454,8.06033005211349,13.345336682731116,0.6777179912848927,0.10686583668666381
seen,persistence,Rat_education_Adrian,3449,4.652502174543346,8.366425213979934,0.9431767790674374,0.05935330285738805
seen,persistence,Rat_education_Kelsey,3473,5.848137057299164,9.223769704162589,0.9598501583509397,0.036591418770036646
seen,persistence,Rat_education_Marvin,3436,4.307581490104773,7.639904576517978,0.9388918415306013,0.07558383499648222
seen,persistence,Wolf_public_Norma,3499,11.707110031437553,18.94071684851761,0.9211300896883754,0.08751108111753389
seen,seasonal_naive,Bear_education_Gavin,3453,4.725605705183898,6.679938199748679,0.4689113821260541,0.05231908699635119
seen,seasonal_naive,Bear_education_Mara,3174,14.195404662885947,21.754981041100713,0.5102152049299284,0.02852061843693957
seen,seasonal_naive,Bear_education_Merrill,2586,3.4029105955143084,5.912445808211252,0.42304091375393715,0.16870449977829363
seen,seasonal_naive,Bear_education_Nanette,3156,14.017855513307984,21.02667022986945,0.8052659919648381,0.11784064259674557
seen,seasonal_naive,Bear_education_Wm,3483,5.2041877691645135,8.891624673448106,0.5237593373876104,0.10500784309470358
seen,seasonal_naive,Bear_education_Zandra,3408,17.073207951877936,26.959648285429104,0.4648288350982387,0.018507873420308962
seen,seasonal_naive,Bear_public_Lowell,3488,13.65697998853211,24.712109729229944,0.6285652182248723,0.06713479664959933
seen,seasonal_naive,Bull_assembly_Goldie,3352,9.24134844868735,13.596260278329696,0.3545381713168807,0.14339477655467395
seen,seasonal_naive,Bull_lodging_Lettie,3347,2.9871526740364507,4.171695998659126,0.6525414853559581,0.08102172627006703
seen,seasonal_naive,Cockatoo_education_Amira,2435,5.225989034907598,11.327994021624434,-0.10739049848921733,0.11766956836259558
